number,short_description,explanatory_note
1,"Productos químicos para la industria, la ciencia y la fotografía, así como para la agricultura, la horticultura y la silvicultura; resinas artificiales en bruto, materias plásticas en bruto; compuestos para la extinción de incendios y la prevención de incendios; preparaciones para templar y soldar metales; sustancias para curtir cueros y pieles de animales; adhesivos (pegamentos) para la industria; masillas y otras materias de relleno en pasta; compost, abonos, fertilizantes; preparaciones biológicas para la industria y la ciencia","La clase 1 comprende principalmente los productos químicos que se utilizan en la industria, la ciencia y la agricultura, incluidos los que entran en la composición de productos comprendidos en otras clases.
Esta clase comprende en particular:

    •  el papel sensible
    •  los compuestos para la reparación de neumáticos
    •  la sal de conservación que no sea para conservar alimentos
    •  ciertos aditivos destinados a la industria alimentaria, por ejemplo: la pectina, la lecitina, las enzimas y los conservadores químicos
    •  ciertos ingredientes utilizados en la fabricación de productos cosméticos y productos farmacéuticos, por ejemplo: las vitaminas, los conservadores y los antioxidantes
    •  ciertas materias filtrantes, por ejemplo: las sustancias minerales, las sustancias vegetales y los materiales cerámicos en partículas
Esta clase no comprende en particular:

    •  las resinas naturales en bruto (cl. 2), las resinas semielaboradas (cl. 17)
    • las preparaciones químicas para uso médico o veterinario (cl. 5)
    •  los fungicidas, los herbicidas y las preparaciones para eliminar animales dañinos (cl. 5)
    •  los adhesivos (pegamentos) de papelería o para uso doméstico (cl. 16)
    •  la sal para conservar alimentos (cl. 30)
    •  el pajote (cobertura de humus) (cl. 31)"
2,"Pinturas, barnices, lacas; productos contra la herrumbre y el deterioro de la madera; colorantes, tintes; tintas de imprenta, tintas de marcado y tintas de grabado; resinas naturales en bruto; metales en hojas y en polvo para la pintura, la decoración, la imprenta y trabajos artísticos","La clase 2 comprende principalmente las pinturas, los colorantes y los productos anticorrosivos.
Esta clase comprende en particular:

    •  las pinturas, los barnices y las lacas para la industria, la artesanía y el arte
    •  los diluyentes, los espesantes, los fijadores y los secantes para pinturas, barnices y lacas
    •  los mordientes para la madera y el cuero
    •  los aceites antiherrumbre y los aceites para conservar la madera
    •  los tintes para prendas de vestir
    •  los colorantes para alimentos y bebidas
Esta clase no comprende en particular:

    •  las resinas artificiales en bruto (cl. 1), las resinas semielaboradas (cl. 17)
    •  los mordientes para metales (cl. 1)
    • los colorantes para lavar y blanquear la ropa (cl. 3)
    •  los tintes cosméticos (cl. 3)
    •  las cajas de pinturas (material escolar) (cl. 16)
    •  las tintas de papelería (cl. 16)
    •  las pinturas y los barnices aislantes (cl. 17)"
3,"Productos cosméticos y preparaciones de tocador no medicinales; dentífricos no medicinales; productos de perfumería, aceites esenciales; preparaciones para blanquear y otras sustancias para lavar la ropa; preparaciones para limpiar, pulir, fregar y raspar","La clase 3 comprende principalmente las preparaciones de tocador no medicinales, así como las preparaciones de limpieza utilizadas en el hogar o en otros ámbitos.
Esta clase comprende en particular:

    •  las preparaciones de higiene en cuanto productos de tocador
    •  las toallitas impregnadas de lociones cosméticas
    •  los desodorantes para personas o animales
    •  las preparaciones para perfumar el ambiente
    •  las pegatinas decorativas para uñas
    •  la cera para pulir
    •  el papel de lija
Esta clase no comprende en particular:

    •  los ingredientes destinados a la fabricación de productos cosméticos, por ejemplo: las vitaminas, los conservadores y los antioxidantes (cl. 1)
    •  las preparaciones desengrasantes para procesos de fabricación (cl. 1)
    •  los productos químicos para limpiar chimeneas (cl. 1)
    •  los desodorantes que no sean para personas o animales (cl. 5)
    •  los champús, los jabones, las lociones y los dentífricos medicinales (cl. 5)
    •  las limas de cartón y las limas de esmeril, las piedras de afilar o las muelas de afilar (herramientas de mano) (cl. 8)
    •  los instrumentos cosméticos y de limpieza, por ejemplo: las brochas y los pinceles de maquillaje (cl. 21), los trapos, los paños y los estropajos de limpieza (cl. 21)"
4,"Aceites y grasas para uso industrial, ceras; lubricantes; compuestos para absorber, rociar y asentar el polvo; combustibles y materiales de alumbrado; velas y mechas de iluminación","La clase 4 comprende principalmente los aceites y las grasas para uso industrial, los combustibles y los materiales de alumbrado.
Esta clase comprende en particular:

    •  los aceites para conservar obras de albañilería y el cuero
    •  la cera en bruto, la cera para uso industrial
    •  la energía eléctrica
    •  los carburantes para motores, los biocarburantes
    •  los aditivos no químicos para carburantes
    •  la madera utilizada como combustible
Esta clase no comprende en particular:

    •  ciertos aceites y grasas industriales especiales, por ejemplo: los aceites curtientes (cl. 1), los aceites para conservar la madera, las grasas y los aceites antiherrumbre (cl. 2), los aceites esenciales (cl. 3)
    •  las velas de masaje para uso cosmético (cl. 3) o para uso médico (cl. 5)
    •  ciertas ceras especiales, por ejemplo: la cera para injertos de árboles (cl. 1), la cera de sastre, la cera para pulir, la cera depilatoria (cl. 3), las ceras dentales (cl. 5), el lacre (cl. 16)
    •  las mechas diseñadas para estufas de petróleo (cl. 11) y para encendedores de cigarrillos (cl. 34)"
5,"Productos farmacéuticos, preparaciones para uso médico y veterinario; productos higiénicos y sanitarios para uso médico; alimentos y sustancias dietéticas para uso médico o veterinario, alimentos para bebés; suplementos alimenticios para personas o animales; emplastos, material para apósitos; material para empastes e impresiones dentales; desinfectantes; preparaciones para eliminar animales dañinos; fungicidas, herbicidas","La clase 5 comprende principalmente los productos farmacéuticos y otras preparaciones para uso médico o veterinario.
Esta clase comprende en particular:

    •  los productos de higiene personal que no sean de tocador
    •  los pañales para bebés y para la incontinencia
    •  los desodorantes que no sean para personas o animales
    •  los champús, los jabones, las lociones y los dentífricos medicinales
    •  los suplementos alimenticios destinados a completar una dieta normal o a beneficiar la salud
    •  los sustitutos de comidas y los alimentos y bebidas dietéticos para uso médico o veterinario
Esta clase no comprende en particular:

    •  los ingredientes para la fabricación de productos farmacéuticos, por ejemplo: las vitaminas, los conservantes y los antioxidantes (cl. 1)
    •  las preparaciones higiénicas en cuanto productos de tocador no medicinales (cl. 3)
    •  los desodorantes para personas o animales (cl. 3)
    •  las vendas de sujeción, las vendas ortopédicas (cl. 10)
    •  los sustitutos de comidas y los alimentos y bebidas dietéticos que no estén indicados como productos para uso médico o veterinario, que deben ser clasificados en las clases correspondientes de comida y bebidas, por ejemplo: las patatas fritas con bajo contenido en grasa (cl. 29), las barritas de cereales ricas en proteínas (cl. 30), las bebidas isotónicas (cl. 32)"
6,"Metales comunes y sus aleaciones, menas; materiales de construcción y edificación metálicos; construcciones transportables metálicas; cables e hilos metálicos no eléctricos; pequeños artículos de ferretería metálicos; contenedores metálicos de almacenamiento y transporte; cajas de caudales","La clase 6 comprende principalmente los metales comunes en bruto y semielaborados, incluidas las menas, así como ciertos productos fabricados con metales comunes.
Esta clase comprende en particular:

    •  los metales en hojas o en polvo para el procesamiento ulterior, por ejemplo: para impresoras 3D
    •  los materiales de construcción metálicos, por ejemplo: los materiales metálicos para vías férreas, los tubos y tuberías metálicos
    •  los pequeños artículos de ferretería metálicos, por ejemplo: los pernos, los tornillos, los clavos, las ruedas para muebles, los cierres para ventanas
    •  las construcciones y estructuras transportables metálicas, por ejemplo: las casas prefabricadas, las piscinas, las jaulas para animales salvajes, las pistas de patinaje
    •  ciertos aparatos dispensadores metálicos, automáticos o no, por ejemplo: los dispensadores de toallas, los dispensadores de tickets de turno, los dispensadores de bolsas para excrementos de perros, los dispensadores de papel higiénico
    •  ciertos productos de metales comunes no clasificados según su función o finalidad, por ejemplo: las cajas multiuso de metales comunes, las estatuas, los bustos y las obras de arte de metales comunes
Esta clase no comprende en particular:

    •  los metales y menas utilizados como productos químicos para la industria o la investigación científica por sus propiedades químicas, por ejemplo: la bauxita, el mercurio, el antimonio, los metales alcalinos y los metales alcalinotérreos (cl. 1)
    •  los metales en hojas y en polvo para la pintura, la decoración, la imprenta y trabajos artísticos (cl. 2)
    •  ciertos aparatos dispensadores clasificados según su función o finalidad, por ejemplo: las máquinas dispensadoras de fluidos para uso industrial (cl. 7), los terminales electrónicos dispensadores de tickets (cl. 9), los dispensadores dosificadores para uso médico (cl. 10), los dispensadores de cinta adhesiva (cl. 16)
    •  los cables eléctricos (cl. 9) y los cables y cuerdas no eléctricos ni metálicos (cl. 22)
    •  las tuberías en cuanto partes de instalaciones sanitarias (cl. 11), las tuberías, los tubos y las mangueras flexibles no metálicos (cl. 17) y las tuberías rígidas no metálicas (cl. 19)
    •  las jaulas para animales de compañía (cl. 21)
    •  ciertos productos de metales comunes clasificados según su función o finalidad, por ejemplo: las herramientas de mano accionadas manualmente (cl. 8), las pinzas para sujetar papeles (cl. 16), los muebles (cl. 20), los utensilios de cocina (cl. 21), los recipientes para uso doméstico (cl. 21)"
7,"Máquinas, máquinas herramientas y herramientas mecánicas; motores, excepto motores para vehículos terrestres; acoplamientos y elementos de transmisión, excepto para vehículos terrestres; instrumentos agrícolas que no sean herramientas de mano que funcionan manualmente; incubadoras de huevos; distribuidores automáticos","La clase 7 comprende principalmente las máquinas y las máquinas herramientas, así como los motores.
Esta clase comprende en particular:

    •  las partes de todo tipo de motores, por ejemplo: los arranques, los silenciadores y los cilindros para motores de todo tipo
    •  los aparatos eléctricos de limpieza y de pulido, por ejemplo: las lustradoras de calzado eléctricas, las máquinas eléctricas para lavar alfombras y moquetas y las aspiradoras
    •  las impresoras 3D
    •  los robots industriales
    •  ciertos vehículos especiales no destinados al transporte, por ejemplo: las barredoras, las máquinas para construir carreteras, los buldóceres, los quitanieves, así como los trenes de rodamiento de caucho en cuanto partes de orugas de dichos vehículos
Esta clase no comprende en particular:

    •  las herramientas e instrumentos de mano que funcionan manualmente (cl. 8)
    •  los robots humanoides dotados de inteligencia artificial, los robots de laboratorio, los robots pedagógicos, los robots de vigilancia para la seguridad (cl. 9), los robots quirúrgicos (cl. 10), los coches robóticos (cl. 12), las baterías robóticas (instrumentos de música) (cl. 15), los robots de juguete (cl. 28)
    •  los motores para vehículos terrestres (cl. 12)
    •  las orugas para vehículos, ni los neumáticos para todo tipo de ruedas de vehículos (cl. 12)
    •  ciertas máquinas especiales, por ejemplo: los cajeros automáticos (cl. 9), los respiradores (cl. 10), los aparatos y máquinas frigoríficos (cl. 11)"
8,"Herramientas e instrumentos de mano que funcionan manualmente; artículos de cuchillería, tenedores y cucharas; armas blancas; maquinillas de afeitar","La clase 8 comprende principalmente las herramientas e instrumentos de mano que funcionan manualmente para la realización de tareas tales como el taladrado, el modelado, el corte y la perforación.
Esta clase comprende en particular:

    •  las herramientas que funcionan manualmente para la agricultura, la jardinería y el paisajismo
    •  las herramientas que funcionan manualmente para carpinteros, artistas y otros artesanos, por ejemplo: los martillos, los cinceles y los buriles
    •  los mangos para herramientas de mano que funcionan manualmente, tales como los cuchillos y las guadañas
    •  los instrumentos de mano eléctricos y no eléctricos de aseo personal y arte corporal, por ejemplo: las maquinillas de afeitar, los aparatos para rizar el cabello, los aparatos de tatuaje, así como los aparatos de manicura y pedicura
    •  las bombas que funcionan manualmente
    •  los cubiertos, tales como los cuchillos, los tenedores y las cucharas, incluidos los de metales preciosos
Esta clase no comprende en particular:

    •   las herramientas e instrumentos accionados por motor (cl. 7)
    •   los instrumentos cortantes para uso quirúrgico (cl. 10)
    •   las bombas de aire para neumáticos de bicicleta (cl. 12), los infladores especialmente diseñados para balones de juego (cl. 28)
    •   las armas cortas en cuanto armas de fuego (cl. 13)
    •   los cortapapeles y las trituradoras de papel (artículos de oficina) (cl. 16)
    •   las empuñaduras, puños y mangos para los objetos clasificados en diferentes clases según su función o finalidad, por ejemplo: las empuñaduras de bastón, los puños de paraguas (cl. 18), los mangos de escoba (cl. 21)
    •   los utensilios de servicio, por ejemplo: las pinzas para el azúcar, las pinzas de hielo, las palas para tartas, los cucharones de servir, así como los utensilios de cocina, por ejemplo: las cucharas para mezclar, los pilones y morteros, los cascanueces, las espátulas (cl. 21)
    •   las armas de esgrima (cl. 28)"
9,"Aparatos e instrumentos científicos, de investigación, de navegación, geodésicos, fotográficos, cinematográficos, audiovisuales, ópticos, de pesaje, de medición, de señalización, de detección, de pruebas, de inspección, de salvamento y de enseñanza; aparatos e instrumentos de conducción, distribución, transformación, acumulación, regulación o control de la distribución o del consumo de electricidad; aparatos e instrumentos de grabación, transmisión, reproducción o tratamiento de sonidos, imágenes o datos; soportes grabados o descargables, software, soportes de registro y almacenamiento digitales o análogos vírgenes; mecanismos para aparatos que funcionan con monedas; cajas registradoras, dispositivos de cálculo; ordenadores y periféricos de ordenador; trajes de buceo, máscaras de buceo, tapones para los oídos para buceo, pinzas nasales para submarinistas y nadadores, guantes de buceo, aparatos de respiración para la natación subacuática; extintores","La clase 9 comprende principalmente los aparatos e instrumentos científicos o de investigación, los equipos audiovisuales y de tecnología de la información y los equipos de seguridad y salvamento.
Esta clase comprende en particular:

    •  los aparatos e instrumentos de investigación científica para laboratorios
    •  los equipos y simuladores de entrenamiento, por ejemplo: los maniquís para ejercicios de reanimación, los simuladores de conducción y control de vehículos
    •  los aparatos e instrumentos de control y vigilancia de aeronaves, de vehículos náuticos y de vehículos no tripulados, por ejemplo: los instrumentos de navegación, los transmisores, los compases de medición, los aparatos de GPS (sistema mundial de determinación de la posición), los aparatos de conducción automática para vehículos
    •  los aparatos e instrumentos de salvamento y seguridad, por ejemplo: las redes de seguridad, las luces de señalización, los semáforos, las autobombas contra incendios, las alarmas sonoras, las fichas de seguridad en cuanto dispositivos de cifrado
    •  las prendas de vestir que protegen contra lesiones graves o potencialmente mortales, por ejemplo: la ropa de protección contra los accidentes, las radiaciones y el fuego, la ropa antibalas, los cascos de protección, los protectores de cabeza para deportes, los protectores bucales para deportes, los trajes especiales de protección para aviadores, las rodilleras para trabajadores
    •  los aparatos e instrumentos ópticos, por ejemplo: las gafas, las lentes de contacto, las lupas, los espejos de inspección para obras, las mirillas
    •  los imanes
    •  los relojes inteligentes, los monitores de actividad física ponibles
    •  las palancas de mando (joysticks) de ordenador, que no sean para videojuegos, los cascos de realidad virtual, las gafas inteligentes
    •  los estuches para gafas, los estuches para teléfonos inteligentes, los estuches especiales para aparatos e instrumentos fotográficos
    •  los cajeros automáticos, las máquinas facturadoras, los instrumentos y máquinas para ensayos de materiales
    •  las baterías y los cargadores para cigarrillos electrónicos
    •  los dispositivos eléctricos y electrónicos de efectos para instrumentos musicales
    •  los robots de laboratorio, los robots pedagógicos, los robots de vigilancia para la seguridad, los robots humanoides con inteligencia artificial para ser utilizados en la investigación científica
Esta clase no comprende en particular:

    •  las palancas de mando (joysticks) en cuanto partes de máquinas, que no sean para máquinas de juego (cl. 7), las palancas de mando de vehículos (cl. 12), las palancas de mando (joysticks) para videojuegos, los mandos para juguetes y consolas de juego (cl. 28)
    •  los aparatos que funcionan con monedas y que se clasifican en varias clases según su función o finalidad, por ejemplo: las lavadoras que funcionan con monedas (cl. 7), las mesas de billar que funcionan con monedas (cl. 28)
    •  los robots industriales (cl. 7), los robots quirúrgicos (cl. 10), los robots de juguete (cl. 28)
    •  los pulsímetros, los aparatos de monitorización de la frecuencia cardíaca, los monitores de composición corporal (cl. 10)
    •  las lámparas de laboratorio, los quemadores de laboratorio (cl. 11)
    •  las lámparas de buceo (cl. 11)
    •  las señales de niebla explosivas, los cohetes de señales (cl. 13)
    •  los cortes histológicos con fines didácticos, las muestras biológicas para la microscopia en cuanto material didáctico (cl. 16)
    •  la ropa y los equipos utilizados para la práctica de determinados deportes, por ejemplo: los protectores acolchados que forman parte de la ropa de deporte, las caretas de esgrima y los guantes de boxeo (cl. 28)"
10,"Aparatos e instrumentos quirúrgicos, médicos, odontológicos y veterinarios; miembros, ojos y dientes artificiales; artículos ortopédicos; material de sutura; dispositivos terapéuticos y de asistencia para personas con discapacidad; aparatos de masaje; aparatos, dispositivos y artículos de puericultura; aparatos, dispositivos y artículos para actividades sexuales","La clase 10 comprende principalmente los aparatos, instrumentos y artículos quirúrgicos, médicos, dentales y veterinarios generalmente utilizados para el diagnóstico, el tratamiento o la mejora de las funciones o el estado de salud de personas y animales.
Esta clase comprende en particular:

    •  las vendas de sujeción, las vendas ortopédicas
    •  las prendas especiales para uso médico, por ejemplo: la ropa de compresión, las medias para varices, las camisas de fuerza, el calzado ortopédico
    •  los artículos, instrumentos y dispositivos para la menstruación, la anticoncepción y el parto, por ejemplo: las copas menstruales, los pesarios, los preservativos, los colchones para el parto, los fórceps
    •  los artículos y dispositivos terapéuticos y protésicos de materiales artificiales o sintéticos para implantación, por ejemplo: los implantes quirúrgicos compuestos de materiales artificiales, las prótesis mamarias, los marcapasos cerebrales, los implantes biodegradables de fijación ósea
    •  los muebles especiales para uso médico, por ejemplo: los sillones para uso médico o dental, los colchones de aire para uso médico, las mesas de operaciones
Esta clase no comprende en particular:

    •  los apósitos médicos y los artículos absorbentes para uso sanitario, por ejemplo: los esparadrapos, las vendas y la gasa para vendajes, las almohadillas de lactancia, los pañales para bebés y para la incontinencia, los tampones higiénicos (cl. 5)
    •  los implantes quirúrgicos compuestos de tejidos vivos (cl. 5)
    •  los cigarrillos sin tabaco para uso médico (cl. 5) y los cigarrillos electrónicos (cl. 34)
    •  las sillas de ruedas y los scooters para personas con movilidad reducida (cl. 12)
    •  las mesas de masaje (cl. 20)"
11,"Aparatos e instalaciones de alumbrado, calefacción, enfriamiento, producción de vapor, cocción, secado, ventilación y distribución de agua, así como instalaciones sanitarias","La clase 11 comprende principalmente los aparatos e instalaciones de control de ambiente, en particular de alumbrado, cocción, enfriamiento y saneamiento.
Esta clase comprende en particular:

    •  los aparatos e instalaciones de aire acondicionado
    •  los hornos que no sean de laboratorio, por ejemplo: los hornos dentales, los hornos de microondas, los hornos de panadería
    •  las estufas en cuanto aparatos de calefacción
    •  los colectores solares térmicos
    •  los humeros de chimenea, los tiros de chimenea, las chimeneas, las chimeneas para viviendas
    •  los esterilizadores, los incineradores
    •  los aparatos e instalaciones de alumbrado, por ejemplo: los tubos luminosos de alumbrado, los proyectores de luz, los números luminosos para casas, los reflectores para vehículos, las luces para vehículos
    •  las lámparas (aparatos de iluminación), por ejemplo: las lámparas eléctricas, las lámparas de gas, las lámparas de laboratorio, las lámparas de aceite, las farolas, las lámparas de seguridad
    •  las camas de bronceado
    •  las instalaciones de baño, los aparatos para baños
    •  los inodoros, los urinarios
    •  las fuentes, las fuentes de chocolate
    •  los cojines, las almohadillas y las mantas electrotérmicas que no sean para uso médico
    •  las bolsas de agua caliente
    •  las prendas de vestir electrotérmicas
    •  las yogurteras eléctricas, las máquinas para hacer pan, las cafeteras, las máquinas para hacer helados cremosos
    •  los aparatos y máquinas de hielo
Esta clase no comprende en particular:

    •  los aparatos de producción de vapor en cuanto partes de máquinas (cl. 7)
    •  los condensadores de aire (cl. 7)
    •  los generadores de corriente, los generadores de electricidad (cl. 7)
    •  las lámparas para soldar (cl. 7), las lámparas ópticas, las lámparas para cuartos oscuros (cl. 9), las lámparas para uso médico (cl. 10)
    •  los hornos de laboratorio (cl. 9)
    •  las células fotovoltaicas (cl. 9)
    •  las señales luminosas (cl. 9)
    •  las almohadillas, los cojines y las mantas eléctricas para uso médico (cl. 10)
    •  las bañeras portátiles para bebés (cl. 21)
    •  las neveras portátiles no eléctricas (cl. 21)
    •  los utensilios de cocina que no tengan una fuente de calor integrada, por ejemplo: las parrillas no eléctricas, las gofreras no eléctricas, las ollas a presión no eléctricas (cl. 21)
    •  los folgos que no estén calentados eléctricamente (cl. 25)"
12,"Vehículos; aparatos de locomoción terrestre, aérea o acuática","La clase 12 comprende principalmente los vehículos y aparatos para el transporte terrestre, aéreo o acuático de personas o de mercancías.
Esta clase comprende en particular:

    •  los motores para vehículos terrestres
    •  los acoplamientos y elementos de transmisión para vehículos terrestres
    •  los aerodeslizadores
    •  los vehículos teledirigidos que no sean juguetes
    •  las partes de vehículos, por ejemplo: los parachoques, los parabrisas, los volantes
    •  las orugas para vehículos, así como los neumáticos para todo tipo de ruedas de vehículos
Esta clase no comprende en particular:

    •  los materiales metálicos para vías férreas (cl. 6)
    •  los motores, acoplamientos y elementos de transmisión que no sean para vehículos terrestres (cl. 7)
    •  las partes de todo tipo de motores, por ejemplo: los arranques, los silenciadores para motores y los cilindros de motor (cl. 7)
    •  los trenes de rodamiento de caucho en cuanto partes de orugas de máquinas de construcción, de máquinas de explotación minera, de máquinas agrícolas y de otras máquinas para servicios pesados (cl. 7)
    •  los triciclos para niños pequeños y los patinetes (juguetes) (cl. 28)
    •  ciertos vehículos especiales o aparatos sobre ruedas que no sean para el transporte, por ejemplo: las barredoras autopropulsadas (cl. 7), las autobombas contra incendios (cl. 9), los carritos de té (cl. 20)
    •  ciertas partes de vehículos, por ejemplo: las baterías eléctricas, los cuentakilómetros y los aparatos de radio para vehículos (cl. 9), las luces para automóviles y bicicletas (cl. 11), las alfombrillas para automóviles (cl. 27)"
13,"Armas de fuego; municiones y proyectiles; explosivos; fuegos artificiales","La clase 13 comprende principalmente las armas de fuego y los productos pirotécnicos.
Esta clase comprende en particular:

    •  las luces de bengala de emergencia explosivas o pirotécnicas
    •  las pistolas de bengalas
    •  los aerosoles de defensa personal
    •  las señales de niebla explosivas, los cohetes de señales
    •  las pistolas de aire comprimido en cuanto armas
    •  las bandoleras para armas
    •  las armas de fuego para cazar
Esta clase no comprende en particular:

    •  la grasa para armas (cl. 4)
    •  las cuchillas en cuanto armas (cl. 8)
    •  las armas blancas (cl. 8)
    •  las señales de niebla no explosivas, los punteros láser de señalización de emergencia (cl. 9)
    •  las miras telescópicas para armas de fuego (cl. 9)
    •  las antorchas (cl. 11)
    •  los envoltorios sorpresa de Navidad (Christmas crackers) (cl. 28)
    •  los cebos fulminantes en cuanto juguetes (cl. 28)
    •  las pistolas de aire comprimido en cuanto juguetes (cl. 28)
    •  las cerillas (cl. 34)"
14,"Metales preciosos y sus aleaciones; artículos de joyería, piedras preciosas y semipreciosas; artículos de relojería e instrumentos cronométricos","La clase 14 comprende principalmente los metales preciosos y ciertos productos de metales preciosos o chapados, así como los artículos de joyería y relojería, y sus partes constitutivas.
Esta clase comprende en particular:

    •  los artículos de joyería, incluidos los artículos de bisutería, por ejemplo: el estrás
    •  los gemelos de camisa, los alfileres de corbata, los pasadores de corbata
    •  los llaveros y los dijes para llaveros
    •  los dijes en cuanto artículos de joyería
    •  los joyeros
    •  las partes constitutivas de artículos de joyería y relojería, por ejemplo: los cierres y las perlas para joyería, los movimientos de relojería, las agujas de reloj, los resortes de reloj, los cristales de reloj
Esta clase no comprende en particular:

    •  los relojes inteligentes (cl. 9)
    •  los dijes que no sean para artículos de joyería y llaveros (cl. 26)
    •  los objetos de arte que no sean de metales preciosos o chapados clasificados en función de la materia de la que están hechos, por ejemplo: los objetos de arte de metales comunes (cl. 6), de piedra, hormigón o mármol (cl. 19), de madera, cera, yeso o materias plásticas (cl. 20), de porcelana, cerámica, loza, barro cocido o vidrio (cl. 21)
    •  ciertos productos de metales preciosos o chapados clasificados según su función o finalidad, por ejemplo: los metales en hojas o en polvo para la pintura, la decoración, la imprenta y trabajos artísticos (cl. 2), las amalgamas dentales de oro (cl. 5), los artículos de cuchillería, los tenedores y cucharas (cl. 8), los contactos eléctricos (cl. 9), los plumines de oro para escribir (cl. 16), las teteras (cl. 21), los bordados en oro y plata (cl. 26), las cajas para puros (cl. 34)"
