number,short_description,explanatory_note
15,"Instrumentos musicales; atriles para partituras y soportes para instrumentos musicales; batutas","La clase 15 comprende principalmente los instrumentos musicales, sus partes y accesorios.
Esta clase comprende en particular:

    •  los instrumentos musicales mecánicos y sus accesorios, por ejemplo: los organillos, los pianos mecánicos, los reguladores de intensidad para pianos mecánicos, las baterías robóticas
    •  las cajas de música
    •  los instrumentos musicales eléctricos y electrónicos
    •  las cuerdas, las lengüetas, las clavijas y los pedales para instrumentos musicales
    •  los diapasones, los afinadores de cuerdas
    •  la colofonia para instrumentos musicales de cuerda
Esta clase no comprende en particular:

    •  los aparatos de grabación, transmisión, amplificación y reproducción de sonido, por ejemplo: los dispositivos eléctricos y electrónicos de efectos para instrumentos musicales, los pedales wah-wah, las interfaces de audio, los mezcladores de audio, los ecualizadores en cuanto aparatos de audio, los altavoces de frecuencias ultrabajas (cl. 9)
    •  los archivos de música descargables (cl. 9)
    •  las partituras electrónicas descargables (cl. 9), las partituras impresas (cl. 16)
    •  los tocadiscos automáticos que funcionan con monedas (cl. 9)
    •  los metrónomos (cl. 9)
    •  las tarjetas de felicitación musicales (cl. 16)"
16,"Papel y cartón; productos de imprenta; material de encuadernación; fotografías; artículos de papelería y artículos de oficina, excepto muebles; adhesivos (pegamentos) de papelería o para uso doméstico; material de dibujo y material para artistas; pinceles; material de instrucción y material didáctico; hojas, películas y bolsas de materias plásticas para embalar y empaquetar; caracteres de imprenta, clichés de imprenta","La clase 16 comprende principalmente el papel, el cartón y ciertos productos de estos materiales, así como los artículos de oficina.
Esta clase comprende en particular:

    •  los cortapapeles
    •  los estuches, fundas y dispositivos para contener o proteger artículos de papel, por ejemplo: las carpetas para documentos, las pinzas para billetes, las fundas para talonarios de cheques, las pinzas para sujetar papeles, las fundas para pasaportes, los álbumes
    •  ciertas máquinas de oficina, por ejemplo: las máquinas de escribir, las multicopistas, las máquinas franqueadoras de oficina, las máquinas sacapuntas
    •  los artículos de pintura para artistas, así como para pintores de interiores y exteriores, por ejemplo: las salseras para pintura, los caballetes y paletas para pintores, los rodillos y bandejas para pintura
    •  ciertos productos desechables de papel, por ejemplo: los baberos, los pañuelos y las mantelerías de papel
    • ciertos productos de papel o de cartón no clasificados en otras clases según su función o finalidad, por ejemplo: las bolsas, sobres y recipientes de papel para empaquetar, las estatuas, figuritas y objetos de arte de papel o cartón, tales como las figuritas de papel maché, las litografías, los cuadros o las acuarelas, enmarcados o no
Esta clase no comprende en particular:

    •  las pinturas (cl. 2)
    •  las herramientas de mano para artistas, por ejemplo: las espátulas, los cinceles de escultor (cl. 8)
    •  los aparatos de enseñanza, por ejemplo: los aparatos de enseñanza audiovisual, los maniquís para ejercicios de reanimación (cl. 9) y las maquetas de juguete (cl. 28)
    •  ciertos productos de papel o de cartón clasificados según su función o finalidad, por ejemplo: el papel fotográfico (cl. 1), los papeles abrasivos (cl. 3), los estores de papel (cl. 20), los vasos y platos de papel (cl. 21), la ropa de cama de papel (cl. 24), la ropa de papel (cl. 25), el papel para cigarrillos (cl. 34)"
17,"Caucho, gutapercha, goma, amianto y mica en bruto o semielaborados, así como sucedáneos de estos materiales; materias plásticas y resinas en forma extrudida utilizadas en procesos de fabricación; materiales para calafatear, estopar y aislar; tuberías, tubos y mangueras flexibles no metálicos","La clase 17 comprende principalmente los materiales aislantes eléctricos, térmicos o acústicos y las materias plásticas utilizadas en procesos de fabricación, en forma de hojas, placas o varillas, así como ciertos productos de caucho, gutapercha, goma, amianto, mica y sus sucedáneos.
Esta clase comprende en particular:

    •  la goma para recauchutar neumáticos
    •  las barreras flotantes anticontaminación
    •  las cintas adhesivas que no sean de uso médico o doméstico, ni de papelería
    •  las películas de materias plásticas que no sean para empaquetar y acondicionar, por ejemplo: las películas antideslumbrantes para cristales
    •  los hilos elásticos y los hilos de caucho o de materias plásticas que no sean para uso textil
    •  ciertos productos fabricados con materiales comprendidos en esta clase, no clasificados en otras clases según su función o finalidad, por ejemplo: los soportes de gomaespuma para arreglos florales, las materias de acolchado de caucho o de materias plásticas, los tapones de caucho, los tampones amortiguadores de caucho, las bolsas o sobres de caucho para empaquetar
Esta clase no comprende en particular:

    •  las mangueras contra incendios (cl. 9)
    •  las tuberías en cuanto partes de instalaciones sanitarias (cl. 11) y las tuberías rígidas metálicas (cl. 6) y no metálicas (cl. 19)
    •  el vidrio aislante para la construcción (cl. 19)
    •  ciertos productos fabricados con materiales comprendidos en esta clase, clasificados según su función o finalidad, por ejemplo: las gomorresinas (cl. 2), el caucho para uso dental (cl. 5), las pantallas de amianto para bomberos (cl. 9), las arandelas adhesivas de caucho para reparar cámaras de aire (cl. 12), las gomas de borrar (cl. 16)"
18,"Cuero y cuero de imitación; pieles de animales; artículos de equipaje y bolsas de transporte; paraguas y sombrillas; bastones; fustas, arneses y artículos de guarnicionería; collares, correas y ropa para animales","La clase 18 comprende principalmente el cuero, el cuero de imitación y ciertos productos de estos materiales.
Esta clase comprende en particular:

    •  los artículos de equipaje y las bolsas de transporte, por ejemplo: las maletas, los baúles, las bolsas de viaje, las bandoleras portabebés, las mochilas escolares
    •  las etiquetas identificadoras para artículos de equipaje
    •  los tarjeteros y las billeteras
    •  las cajas y cajones de cuero y de cartón-cuero
Esta clase no comprende en particular:

    •  los bastones para uso médico (cl. 10)
    •  las prendas de vestir, el calzado o los artículos de sombrerería de cuero para personas (cl. 25)
    •  las bolsas y estuches diseñados para productos específicos, por ejemplo: las bolsas diseñadas para ordenadores portátiles (cl. 9), las bolsas y estuches para aparatos fotográficos y equipos fotográficos (cl. 9), los estuches para instrumentos musicales (cl. 15), las bolsas de golf, con o sin ruedas, las fundas especiales para esquís y tablas de surf (cl. 28)
    •  ciertos productos de cuero, cuero de imitación y pieles de animales, clasificados según su función o finalidad, por ejemplo: los cueros de afilar (cl. 8), el cuero para lustrar (cl. 21), las gamuzas para limpiar (cl. 21), los cinturones de cuero para vestir (cl. 25)"
19,"Materiales de construcción no metálicos; tuberías rígidas no metálicas para la construcción; asfalto, pez, alquitrán y betún; construcciones transportables no metálicas; monumentos no metálicos","La clase 19 comprende principalmente los materiales de construcción no metálicos.
Esta clase comprende en particular:

    •  las maderas semielaboradas para la construcción, por ejemplo: las vigas, los tablones, los paneles
    •  los chapados de madera
    •  el vidrio de construcción, por ejemplo: las tejas de vidrio, el vidrio aislante para la construcción, el vidrio armado
    •  las microesferas de vidrio para la señalización horizontal de carreteras
    •  el granito, el mármol, la grava
    •  el barro cocido en cuanto material de construcción
    •  los techados no metálicos con células fotovoltaicas integradas
    •  las lápidas sepulcrales y las tumbas no metálicas
    •  las estatuas, los bustos y las obras de arte de piedra, hormigón o mármol
    •  los buzones de correo de obra
    •  los geotextiles
    •  los enlucidos en cuanto materiales de construcción
    •  los andamios no metálicos
    •  las construcciones y estructuras transportables no metálicas, por ejemplo: los acuarios, las pajareras, las astas de bandera, las marquesinas, las piscinas
Esta clase no comprende en particular:

    •  los productos para conservar o impermeabilizar cemento (cl. 1)
    •  los productos ignífugos (cl. 1)
    •  los productos para conservar la madera (cl. 2)
    •  la pez negra de zapatero (cl. 3)
    •  los aceites de desencofrado para la construcción (cl. 4)
    •  los buzones de correo metálicos (cl. 6) y no metálicos o de obra (cl. 20)
    •  las estatuas, los bustos y las obras de arte de metales comunes (cl. 6), de metales preciosos (cl. 14), de madera, cera, yeso o materias plásticas (cl. 20), de porcelana, cerámica, loza, barro cocido o vidrio (cl. 21)
    •  ciertas tuberías, no metálicas, que no sean para la construcción, por ejemplo: las tuberías en cuanto partes de instalaciones sanitarias (cl. 11), las tuberías, los tubos y las mangueras flexibles, no metálicos (cl. 17)
    •  los compuestos aislantes contra la humedad en edificios (cl. 17)
    •  el vidrio para ventanillas de vehículos (producto semiacabado) (cl. 21)
    •  las jaulas de pájaros (cl. 21)
    •  las esteras y esterillas, el linóleo y otros revestimientos de suelos (cl. 27)
    •  la madera en bruto o sin desbastar (cl. 31)"
20,"Muebles, espejos, marcos; contenedores no metálicos de almacenamiento o transporte; hueso, cuerno, ballena o nácar, en bruto o semielaborados; conchas; espuma de mar; ámbar amarillo","La clase 20 comprende principalmente los muebles y sus partes, así como ciertos productos de madera, corcho, caña, junco, mimbre, cuerno, hueso, ballena, concha, ámbar, nácar, espuma de mar, sucedáneos de todos estos materiales o de materias plásticas.
Esta clase comprende en particular:

    •  los muebles metálicos y los muebles de camping, los armeros para fusiles, los expositores para periódicos
    •  las persianas de interior para ventanas
    •  los accesorios de cama, por ejemplo: los colchones, los somieres, las almohadas
    •  los espejos de mobiliario y de tocador
    •  las placas de matriculación no metálicas
    •  los pequeños artículos de ferretería no metálicos, por ejemplo: los pernos, los tornillos, las clavijas, las ruedas para muebles, las abrazaderas para tuberías
    •  los buzones de correo no metálicos ni de obra
    •  ciertos aparatos dispensadores no metálicos, automáticos o no, por ejemplo: los dispensadores de toallas, los dispensadores de tickets de turno, los dispensadores de bolsas para excrementos de perros, los dispensadores de papel higiénico
Esta clase no comprende en particular:

    •  el mobiliario especial de laboratorio (cl. 9) o para uso médico (cl. 10)
    •  las persianas de exterior metálicas (cl. 6), no metálicas ni de materias textiles (cl. 19), de materias textiles (cl. 22)
    •  la ropa de cama, los edredones y los sacos de dormir (cl. 24)
    •  ciertos aparatos dispensadores clasificados según su función o finalidad, por ejemplo: las máquinas dispensadoras de fluidos para uso industrial (cl. 7), los terminales electrónicos dispensadores de tickets (cl. 9), los dispensadores dosificadores para uso médico (cl. 10), los dispensadores de cinta adhesiva (cl. 16)
    •  ciertos espejos para usos específicos, por ejemplo: los espejos utilizados en productos de óptica (cl. 9), los espejos utilizados en cirugía y odontología (cl. 10), los retrovisores (cl. 12), las miras de espejo para fusiles (cl. 13)
    •  ciertos productos de madera, corcho, caña, junco, mimbre, cuerno, hueso, ballena, concha, ámbar, nácar, espuma de mar, sucedáneos de todos estos materiales o de materias plásticas, clasificados según su función o finalidad, por ejemplo: las perlas para la confección de joyas (cl. 14), las tablas para suelos de madera (cl. 19), las cestas para uso doméstico (cl. 21), los vasos de materias plásticas (cl. 21), las esteras de caña (cl. 27)"
21,"Utensilios y recipientes para uso doméstico y culinario; utensilios de cocina y vajilla, excepto tenedores, cuchillos y cucharas; peines y esponjas; cepillos; materiales para fabricar cepillos; material de limpieza; vidrio en bruto o semielaborado, excepto vidrio de construcción; artículos de cristalería, porcelana y loza","La clase 21 comprende principalmente los pequeños aparatos y utensilios que funcionan manualmente para uso doméstico y culinario, así como los utensilios de tocador y utensilios cosméticos, los artículos de cristalería y ciertos productos de porcelana, cerámica, loza, barro cocido o vidrio.
Esta clase comprende en particular:

    •  los utensilios de cocina y los utensilios para uso doméstico, por ejemplo: los matamoscas, las pinzas para la ropa, las cucharas para mezclar, los cucharones y los sacacorchos, así como los utensilios de servir, por ejemplo: las pinzas para el azúcar, las pinzas para el hielo, las palas para tartas y los cucharones de servir
    •  los recipientes para uso doméstico o culinario, por ejemplo: los jarrones, las botellas, las huchas de cerdito, los cubos, las cocteleras, las ollas y cazuelas, así como los hervidores y las ollas a presión no eléctricos
    •  los aparatos pequeños de cocina para picar, moler, exprimir o triturar, que funcionan manualmente, por ejemplo: los prensaajos, los cascanueces, los pilones y los morteros
    •  los salvamanteles, posabotellas y posavasos
    •  los utensilios cosméticos, por ejemplo: los peines y cepillos de dientes eléctricos o no, el hilo dental, los separadores interdigitales de espuma para la pedicura, las borlas de polvera, los neceseres de tocador llenos
    •  los artículos de jardinería, por ejemplo: los guantes de jardinería, las jardineras para ventanas, las regaderas y las boquillas para mangueras de riego
    •  los acuarios de interior, los terrarios de interior y los vivarios de interior
Esta clase no comprende en particular:

    •  las preparaciones de limpieza (cl. 3)
    •  los contenedores metálicos (cl. 6) y no metálicos (cl. 20) para el almacenamiento y transporte de mercancías
    •  los aparatos pequeños para picar, moler, exprimir o triturar, de accionamiento eléctrico (cl. 7)
    •  las navajas y maquinillas de afeitar, las esquiladoras y los cortaúñas, los instrumentos de manicura y pedicura, eléctricos o no, por ejemplo: los estuches de manicura, las limas de cartón, los alicates para cutículas (cl. 8)
    •  los cubiertos (cl. 8) y las herramientas de corte que funcionan manualmente para la cocina, por ejemplo: los cortaverduras, los cortadores de pizza y los cortadores de queso (cl. 8)
    •  los peines antipiojos, los limpiadores linguales (raspadores de lengua) (cl. 10)
    •  los utensilios de cocción eléctricos (cl. 11)
    •  los espejos de tocador (cl. 20)
    •  ciertos productos de vidrio, porcelana y loza clasificados según su función o finalidad, por ejemplo: la porcelana para prótesis dentales (cl. 5), los cristales de gafas (cl. 9), la lana de vidrio para aislar, el vidrio acrílico u orgánico semielaborado (cl. 17), las baldosas de loza (cl. 19), el vidrio de construcción (cl. 19), las fibras de vidrio para uso textil (cl. 22)"
22,"Cuerdas y cordeles; redes; tiendas de campaña y lonas; toldos de materias textiles o sintéticas; velas de navegación; sacos para el transporte y almacenamiento de mercancías a granel; materiales de acolchado y relleno, excepto papel, cartón, caucho o materias plásticas; materias textiles fibrosas en bruto y sus sucedáneos","La clase 22 comprende principalmente las lonas y otros materiales para hacer velas de navegación, la cordelería, los materiales de acolchado y relleno, así como las materias textiles fibrosas en bruto.
Esta clase comprende en particular:

    •  las cuerdas y cordeles de fibras textiles naturales o artificiales, de papel o de materias plásticas
    •  las redes de pescar, las hamacas, las escalas de cuerda
    •  las fundas no ajustables para vehículos
    •  ciertas bolsas y sacos no clasificados en otras clases según su función o finalidad, por ejemplo: las bolsas de malla para lavar la ropa, las bolsas para cadáveres, las sacas postales
    •  las bolsas de materias textiles para empaquetar
    •  las fibras de origen animal y las fibras textiles en bruto, por ejemplo: la crin, los capullos de gusanos de seda, la tela de yute, la lana tratada o en bruto, la seda en bruto
Esta clase no comprende en particular:

    •  las cuerdas metálicas (cl. 6)
    •  las cuerdas para instrumentos musicales (cl. 15) y para raquetas de deportes (cl. 28)
    •  los materiales de acolchado y relleno de papel o cartón (cl. 16), de caucho o de materias plásticas (cl. 17)
    •  ciertas redes y bolsas clasificadas según su función o finalidad, por ejemplo: las redes de salvamento (cl. 9), las redes portaequipajes para vehículos (cl. 12), los portatrajes (cl. 18), las redecillas para el cabello (cl. 26), las bolsas de golf (cl. 28), las redes (artículos de deporte) (cl. 28)
    •  las bolsas de empaquetar que no sean de materias textiles, clasificadas según el material del que están hechas, por ejemplo: las bolsas de empaquetar de papel o de materias plásticas (cl. 16), de caucho (cl. 17), de cuero (cl. 18)"
23,"Hilos e hilados para uso textil","La clase 23 comprende principalmente los hilos e hilados naturales o sintéticos para uso textil.
Esta clase comprende en particular:

    •  las fibras de vidrio, elásticas, de caucho o de materias plásticas, para uso textil
    •  los hilos de bordar, zurcir o coser, incluidos los hilos metálicos
    •  la seda hilada, el algodón hilado, la lana hilada
Esta clase no comprende en particular:

    •  ciertos hilos para usos específicos, por ejemplo: las bridas de identificación para hilos eléctricos (cl. 9), el hilo quirúrgico (cl. 10), los hilos de metales preciosos de joyería (cl. 14)
    •  los hilos que no sean para uso textil, clasificados según el material del que están hechos, por ejemplo: los hilos para atar, metálicos (cl. 6) o no metálicos (cl. 22), los hilos elásticos, de caucho o de materias plásticas (cl. 17), los hilos de vidrio (cl. 21)"
24,"Tejidos y sus sucedáneos; ropa de hogar; cortinas de materias textiles o de materias plásticas","La clase 24 comprende principalmente las telas y las fundas de tela para uso doméstico.
Esta clase comprende en particular:

    •  la ropa de hogar, por ejemplo: las colchas, las fundas de almohada, las toallas de materias textiles
    •  la ropa de cama de papel
    •  los sacos de dormir, las sábanas para sacos de dormir
    •  los mosquiteros
Esta clase no comprende en particular:

    •  las mantas eléctricas para uso médico (cl. 10) y no médico (cl. 11)
    •  las mantelerías de papel (cl. 16)
    •  las cortinas de seguridad de amianto (cl. 17), las cortinas de bambú y las cortinas de cuentas para decorar (cl. 20)
    •  las mantas para caballos (cl. 18)
    •  ciertos tejidos y telas destinados a usos particulares, por ejemplo: los tejidos de encuadernación (cl. 16), los tejidos aislantes (cl. 17), los geotextiles (cl. 19)"
25,"Prendas de vestir, calzado, artículos de sombrerería","La clase 25 comprende principalmente las prendas de vestir, el calzado y los artículos de sombrerería para personas.
Esta clase comprende en particular:

    •  las partes de prendas de vestir, de calzado y de artículos de sombrerería, por ejemplo: los puños, los bolsillos, los forros confeccionados, los tacones, los refuerzos de talón y las alzas de talón, las viseras para gorras, las armaduras de sombreros
    •  las prendas de vestir y el calzado para deporte, por ejemplo: los guantes de esquí, las camisetas de deporte sin mangas, la ropa para ciclistas, los uniformes de judo y de karate, las botas de fútbol, las zapatillas de gimnasia, las botas de esquí
    •  los trajes de disfraces
    •  la ropa de papel, los sombreros de papel en cuanto prendas de vestir
    •  los baberos que no sean de papel
    •  los pañuelos de bolsillo
    •  los folgos que no estén calentados eléctricamente
Esta clase no comprende en particular:

    •  los pequeños artículos de ferretería utilizados en la fabricación de calzado, por ejemplo: las clavijas y los remaches para el calzado metálicos (cl. 6) y no metálicos (cl. 20), así como los accesorios de mercería y los cierres para prendas de vestir, calzado y sombrerería, por ejemplo: los cierres, las hebillas, las cremalleras, las cintas, las cintas de sombrero y los artículos de pasamanería para el calzado y para artículos de sombrerería (cl. 26)
    •  cierta ropa, calzado y artículos para la cabeza para uso especial, por ejemplo: los cascos de protección, asimismo para deportes (cl. 9), la ropa de protección contra el fuego (cl. 9), la ropa especial para quirófano (cl. 10), el calzado ortopédico (cl. 10), así como la ropa y el calzado necesarios para la práctica de determinados deportes, por ejemplo: los guantes de béisbol, los guantes de boxeo, los patines de hielo (cl. 28)
    •  las prendas de vestir electrotérmicas (cl. 11)
    •  los folgos calentados eléctricamente (cl. 11), los cubrepiés especiales para sillas de paseo y coches de niño (cl. 12)
    •  los baberos de papel (cl. 16)
    •  los pañuelos de bolsillo de papel (cl. 16) y de materias textiles (cl. 24)
    •  la ropa para animales (cl. 18)
    •  las máscaras de carnaval (cl. 28)
    •  la ropa de muñecas (cl. 28)
    •  los sombreros de papel para fiestas (cl. 28)"
26,"Encajes, cordones y bordados, así como cintas y lazos de mercería; botones, ganchos y ojetes, alfileres y agujas; flores artificiales; adornos para el cabello; cabello postizo","La clase 26 comprende principalmente los artículos de mercería y pasamanería, los cabellos naturales o sintéticos y los adornos para el cabello, así como los artículos destinados a la decoración de objetos diversos, no comprendidos en otras clases.
Esta clase comprende en particular:

    •  las pelucas, los tupés, las barbas postizas
    •  los pasadores, las cintas para el cabello
    •  las cintas y los lazos de mercería o para el cabello, de cualquier material
    •  las cintas y los lazos para envolver regalos, que no sean de papel
    •  las redecillas para el cabello
    •  las hebillas, las cremalleras (cierres)
    •  los dijes que no sean para artículos de joyería ni llaveros
    •  las guirnaldas y coronas de Navidad artificiales, incluidas las que comprenden luces
    •  ciertos artículos para rizar el cabello, por ejemplo: los bigudís eléctricos o no, las horquillas para ondular el cabello, las tiras de papel para rizar el cabello
Esta clase no comprende en particular:

    •  las pestañas postizas (cl. 3)
    •  los ganchos en cuanto pequeños artículos de ferretería metálicos (cl. 6) o no metálicos (cl. 20), los ganchos de cortinas (cl. 20)
    •  ciertas agujas especiales, por ejemplo: las agujas de tatuaje (cl. 8), las agujas para brújulas topográficas (cl. 9), las agujas para uso médico (cl. 10), las agujas de infladores para balones de juego (cl. 28)
    •  los utensilios de mano para rizar el cabello, por ejemplo: las tenacillas para rizar, los rizadores de pestañas (cl. 8)
    •  las prótesis capilares (cl. 10)
    •  los dijes para artículos de joyería, los dijes para llaveros (cl. 14)
    •  ciertas cintas y lazos, por ejemplo: las cintas y los lazos de papel, que no sean de mercería o para el cabello (cl. 16), las cintas de gimnasia rítmica (cl. 28)
    •  los hilos para uso textil (cl. 23)
    •  los árboles de Navidad de materiales sintéticos (cl. 28)"
27,"Alfombras, felpudos, esteras y esterillas, linóleo y otros revestimientos de suelos; tapices murales que no sean de materias textiles","La clase 27 comprende principalmente los productos destinados a recubrir o revestir, con el fin de acondicionar los suelos o paredes ya construidos.
Esta clase comprende en particular:

    •  las alfombrillas para automóviles
    •  las alfombras para cubrir suelos, por ejemplo: las alfombrillas de baño, los felpudos, las colchonetas de gimnasia, las esteras de yoga
    •  el césped artificial
    •  el papel pintado, incluido el papel pintado de materias textiles
Esta clase no comprende en particular:

    •  los suelos, los entarimados y las baldosas para suelos, metálicos (cl. 6) y no metálicos (cl. 19), las tablas para suelos de madera (cl. 19)
    •  las alfombras electrotérmicas (cl. 11)
    •  los geotextiles (cl. 19)
    •  las colchonetas para parques de bebés (cl. 20)
    •  los tapizados murales de materias textiles (cl. 24)"
28,"Juegos y juguetes; aparatos de videojuegos; artículos de gimnasia y deporte; adornos para árboles de Navidad","La clase 28 comprende principalmente los juguetes, los aparatos de juegos, los equipos de deportes, los artículos de entretenimiento y de broma, así como ciertos artículos para árboles de Navidad.
Esta clase comprende en particular:

    •  los aparatos recreativos y de juegos, incluidos sus dispositivos de mando
    •  los artículos de cotillón y los artículos de broma, por ejemplo: las máscaras de carnaval, los sombreros de papel para fiestas, los confetis, los lanzadores de serpentinas y confetis para fiestas y los envoltorios sorpresa de Navidad (Christmas crackers)
    •  el material de caza y pesca, por ejemplo: las cañas de pescar, los salabardos de pesca, los señuelos, los reclamos de caza
    •  los aparatos para juegos y deportes diversos
Esta clase no comprende en particular:

    •  las velas para árboles de Navidad (cl. 4), las lámparas eléctricas para árboles de Navidad (cl. 11), los productos de confitería y chocolatería para decorar árboles de Navidad (cl. 30)
    •  los equipos de buceo y submarinismo (cl. 9)
    •  los juguetes sexuales y las muñecas eróticas (cl. 10)
    •  la ropa de gimnasia y deporte (cl. 25)
    •  ciertos artículos de gimnasia y de deporte, por ejemplo: los cascos de protección, las gafas y protectores bucales para deportes (cl. 9), las armas de fuego para deportes (cl. 13), las colchonetas de gimnasia (cl. 27), así como ciertos equipos de caza y pesca, por ejemplo: los cuchillos de caza, los arpones (cl. 8), las armas de fuego para la caza (cl. 13), las redes de pesca (cl. 22), clasificados según otras de sus funciones o finalidades"
29,"Carne, pescado, carne de ave y carne de caza; extractos de carne; frutas y verduras, hortalizas y legumbres en conserva, congeladas, secas y cocidas; jaleas, confituras, compotas; huevos; leche, quesos, mantequilla, yogur y otros productos lácteos; aceites y grasas para uso alimenticio","La clase 29 comprende principalmente los productos alimenticios de origen animal, las verduras, hortalizas y legumbres, así como otros productos hortícolas comestibles preparados o en conserva para su consumo.
Esta clase comprende en particular:

    •  los alimentos a base de carne, pescado, fruta o verduras, hortalizas y legumbres
    •  los insectos comestibles
    •  las bebidas lacteadas en las que predomine la leche
    •  los sucedáneos de la leche, por ejemplo: la leche de almendras, la leche de coco, la leche de cacahuete, la leche de arroz, la leche de soja
    •  los champiñones en conserva
    •  las leguminosas y los frutos secos preparados para la alimentación humana
    •  los granos preparados para la alimentación humana, que no sean productos para sazonar o aromatizantes
Esta clase no comprende en particular:

    •  los aceites y grasas, que no sean para la alimentación, por ejemplo: los aceites esenciales (cl. 3), los aceites industriales (cl. 4), el aceite de ricino para uso médico (cl. 5)
    •  los alimentos para bebés (cl. 5)
    •  los alimentos y sustancias dietéticas para uso médico (cl. 5)
    •  los suplementos alimenticios (cl. 5)
    •  los aliños para ensalada (cl. 30)
    •  los granos procesados utilizados como productos para sazonar (cl. 30)
    •  los frutos secos recubiertos de chocolate (cl. 30)
    •  las frutas, verduras, hortalizas y legumbres, los frutos secos y las semillas en cuanto productos frescos y sin procesar (cl. 31)
    •  los alimentos para animales (cl. 31)
    •  los animales vivos (cl. 31)
    •  las semillas para plantar (cl. 31)"
30,"Café, té, cacao y sus sucedáneos; arroz, pastas alimenticias y fideos; tapioca y sagú; harinas y preparaciones a base de cereales; pan, productos de pastelería y confitería; chocolate; helados cremosos, sorbetes y otros helados; azúcar, miel, jarabe de melaza; levadura, polvos de hornear; sal, productos para sazonar, especias, hierbas en conserva; vinagre, salsas y otros condimentos; hielo","La clase 30 comprende principalmente los productos alimenticios de origen vegetal, excepto las frutas, verduras, hortalizas y legumbres preparados o en conserva para su consumo, así como los aditivos para realzar el sabor de los alimentos.
Esta clase comprende en particular:

    •  las bebidas a base de café, cacao, chocolate o té
    •  los cereales preparados para la alimentación humana, por ejemplo: los copos de avena, los chips de maíz, la cebada mondada, el bulgur, el muesli
    •  las pizzas, las tartas saladas, los sándwiches
    •  los frutos secos recubiertos de chocolate
    •  los aromatizantes, que no sean aceites esenciales, alimentarios o para bebidas
Esta clase no comprende en particular:

    •  la sal para uso industrial (cl. 1)
    •  los aromatizantes alimentarios o para bebidas en cuanto aceites esenciales (cl. 3)
    •  las infusiones medicinales, y los alimentos y sustancias dietéticas para uso médico (cl. 5)
    •  los alimentos para bebés (cl. 5)
    •  los suplementos alimenticios (cl. 5)
    •  la levadura para uso farmacéutico (cl. 5), la levadura para la alimentación animal (cl. 31)
    •  las bebidas lácteas con sabor a café, cacao, chocolate o té (cl. 29)
    •  las sopas, los caldos (cl. 29)
    •  los cereales sin procesar (cl. 31)
    •  las hierbas frescas (cl. 31)
    •  los alimentos para animales (cl. 31)"
