number,short_description,explanatory_note
31,"Productos agrícolas, acuícolas, hortícolas y forestales en bruto y sin procesar; granos y semillas en bruto o sin procesar; frutas y verduras, hortalizas y legumbres frescas, hierbas aromáticas frescas; plantas y flores naturales; bulbos, plantones y semillas para plantar; animales vivos; productos alimenticios y bebidas para animales; malta","La clase 31 comprende principalmente los productos de la tierra y del mar que no hayan sido procesados para su consumo, los animales vivos y las plantas vivas, así como los alimentos para animales.
Esta clase comprende en particular:

    •  los cereales sin procesar
    •  las frutas, verduras, hortalizas y legumbres frescas, incluso lavadas o enceradas
    •  los residuos de origen vegetal
    •  las algas sin procesar
    •  la madera sin desbastar
    •  los huevos fertilizados para incubar
    •  las trufas y los champiñones frescos
    •  la arena higiénica para animales, por ejemplo: la arena aromática, el papel granulado para lechos de animales de compañía
Esta clase no comprende en particular:

    •  los cultivos de microorganismos y las sanguijuelas para uso médico (cl. 5)
    •  los suplementos alimenticios y los alimentos medicinales para animales (cl. 5)
    •  las maderas semielaboradas (cl. 19)
    •  los cebos de pesca artificiales (cl. 28)
    •  el arroz (cl. 30)
    •  el tabaco (cl. 34)"
32,"Cervezas; bebidas sin alcohol; aguas minerales y carbonatadas; bebidas a base de frutas y zumos de frutas; siropes y otras preparaciones para elaborar bebidas sin alcohol","La clase 32 comprende principalmente las bebidas sin alcohol, así como las cervezas.
Esta clase comprende en particular:

    •  las bebidas desalcoholizadas
    •  las bebidas refrescantes sin alcohol
    •  las bebidas a base de arroz y de soja, que no sean sucedáneos de la leche
    •  las bebidas energéticas, las bebidas isotónicas, las bebidas enriquecidas con proteínas para deportistas
    •  las esencias y extractos de frutas sin alcohol para elaborar bebidas
Esta clase no comprende en particular:

    •  los aromatizantes para bebidas en cuanto aceites esenciales (cl. 3) o que no sean aceites esenciales (cl. 30)
    •  las bebidas dietéticas para uso médico (cl. 5)
    •  las bebidas lacteadas en las que predomina la leche, los batidos de leche (cl. 29)
    •  los sucedáneos de la leche, por ejemplo: la leche de almendras, la leche de coco, la leche de cacahuete, la leche de arroz, la leche de soja (cl. 29)
    •  el zumo de limón para uso culinario, el jugo de tomate para uso culinario (cl. 29)
    •  las bebidas a base de café, cacao, chocolate o té (cl. 30)
    •  las bebidas para animales de compañía (cl. 31)
    •  las bebidas alcohólicas, excepto cervezas (cl. 33)"
33,"Bebidas alcohólicas, excepto cervezas; preparaciones alcohólicas para elaborar bebidas","La clase 33 comprende principalmente bebidas, esencias y extractos alcohólicos.
Esta clase comprende en particular:

    •  los vinos, los vinos generosos
    •  las sidras, la perada
    •  las bebidas espirituosas, los licores
    •  las esencias alcohólicas, los extractos de frutas alcohólicos, los amargos
Esta clase no comprende en particular:

    •  las pociones medicinales (cl. 5)
    •  las bebidas desalcoholizadas (cl. 32)
    •  las cervezas (cl. 32)
    •  las mezclas sin alcohol utilizadas para preparar bebidas alcohólicas, por ejemplo: las bebidas refrescantes sin alcohol, las sodas (cl. 32)"
34,"Tabaco y sucedáneos del tabaco; cigarrillos y puros; cigarrillos electrónicos y vaporizadores bucales para fumadores; artículos para fumadores; cerillas","La clase 34 comprende principalmente el tabaco y los artículos para fumar, así como ciertos accesorios y recipientes relacionados con su uso.
Esta clase comprende en particular:

    •  los sucedáneos del tabaco que no sean para uso médico
    •  los aromatizantes, que no sean aceites esenciales, para cigarrillos electrónicos, los vaporizadores bucales para fumadores
    •  las hierbas para fumar
    •  el rapé (tabaco en polvo)
    •  ciertos accesorios y recipientes relacionados con el consumo de tabaco y artículos para fumar, por ejemplo: los encendedores para fumadores, los ceniceros para fumadores, los botes para tabaco, las tabaqueras (cajas para rapé), las cajas con humidificador para puros
Esta clase no comprende en particular:

    •  los cigarrillos sin tabaco para uso médico (cl. 5)
    •  las baterías y los cargadores de cigarrillos electrónicos (cl. 9)
    •  los ceniceros para automóviles (cl. 12)"
35,"Publicidad; gestión, organización y administración de negocios comerciales; trabajos de oficina","La clase 35 comprende principalmente los servicios que implican la gestión, la explotación, la organización y la administración comercial de una empresa comercial o industrial, así como los servicios de publicidad, marketing y promoción. A fines de clasificación, la venta de productos no se considera un servicio.
Esta clase comprende en particular:

    •  el agrupamiento, por cuenta de terceros, de una amplia gama de productos, excepto su transporte, para que los consumidores puedan verlos y adquirirlos con comodidad; estos servicios pueden ser prestados por comercios minoristas o mayoristas, distribuidores automáticos, catálogos de venta por correspondencia o medios de comunicación electrónicos, tales como sitios web o programas de televenta
    •  los servicios de publicidad, de marketing y de promoción, por ejemplo, la distribución de muestras, el desarrollo de conceptos publicitarios, la redacción y publicación de textos publicitarios
    •  la decoración de escaparates
    •  los servicios de relaciones públicas
    •  la producción de programas de televenta
    •  la organización de ferias comerciales y de exposiciones con fines comerciales o publicitarios
    •  la optimización de motores de búsqueda con fines de promoción de ventas
    •  los servicios de asistencia comercial, por ejemplo: la selección de personal, la negociación de contratos de negocios para terceros, el análisis del precio de costo, los servicios de agencias de importación-exportación
    •  los servicios administrativos relativos a transacciones de negocios y registros financieros, por ejemplo: la teneduría de libros, la elaboración de estados de cuenta, las auditorías empresariales, las auditorías contables y financieras, la valoración de negocios comerciales, la preparación y la presentación de declaraciones tributarias
    •  la gestión comercial de licencias de productos y servicios de terceros
    •  los servicios que comprenden el registro, la transcripción, la composición, la compilación o la sistematización de comunicaciones escritas y grabaciones, así como la compilación de datos matemáticos o estadísticos
    •  los trabajos de oficina, por ejemplo: los servicios de programación y de recordatorio de citas, la búsqueda de datos en archivos informáticos para terceros, los servicios de gestión informática de archivos, los servicios de centrales telefónicas
Esta clase no comprende en particular:

    •  los servicios financieros, por ejemplo: el análisis financiero, la gestión financiera, el patrocinio financiero (cl. 36)
    •  la administración de bienes inmuebles (cl. 36)
    •  el corretaje de valores bursátiles (cl. 36)
    •  los servicios logísticos de transporte (cl. 39)
    •  las auditorías sobre energía (cl. 42)
    •  el diseño gráfico de material promocional (cl. 42)
    •  los servicios jurídicos relacionados con la negociación de contratos para terceros (cl. 45)
    •  la concesión de licencias de propiedad intelectual, la administración jurídica de licencias, la gestión de derechos de autor (cl. 45)
    •  el registro de nombres de dominio (cl. 45)"
36,"Servicios financieros, monetarios y bancarios; servicios de seguros; servicios inmobiliarios","La clase 36 comprende principalmente los servicios relativos a los servicios bancarios y otras transacciones financieras, los servicios de valoración, así como las actividades de seguros y de bienes inmuebles.
Esta clase comprende en particular:

    •  los servicios de pago y de transacciones financieras, por ejemplo: las operaciones de cambio, la transferencia electrónica de fondos, el procesamiento de pagos por tarjeta de crédito y de débito, la emisión de cheques de viaje
    •  la gestión y la investigación financieras
    •  las estimaciones financieras, por ejemplo: la tasación de joyas, obras de arte y bienes inmuebles, la estimación financiera de costos de reparación
    •  la verificación de cheques
    •  los servicios de financiación y de crédito, por ejemplo: los préstamos, la emisión de tarjetas de crédito, el arrendamiento con opción de compra
    •  la financiación participativa
    •  los servicios de depósito en cajas de seguridad
    •  el patrocinio financiero
    •  los servicios de agencias inmobiliarias, la administración de bienes inmuebles, el alquiler de apartamentos, el cobro de alquileres
    •  la suscripción de seguros, los servicios actuariales
    •  los servicios de corretaje, por ejemplo: el corretaje de valores, de seguros, y de bienes inmuebles, el corretaje de créditos de carbono, los préstamos prendarios
Esta clase no comprende en particular:

    •  los servicios administrativos relativos a transacciones de negocios y registros financieros, por ejemplo: la teneduría de libros, la elaboración de estados de cuenta, las auditorías empresariales, las auditorías contables y financieras, la valoración de negocios comerciales, la elaboración de declaraciones tributarias y la presentación de declaraciones tributarias (cl. 35)
    •  la búsqueda de patrocinadores, la promoción de productos y servicios mediante el patrocinio de eventos deportivos (cl. 35)
    •  el abastecimiento de efectivo de cajeros automáticos (cl. 39)
    •  el corretaje de fletes, el corretaje de transporte (cl. 39)
    •  la evaluación de la calidad de la lana y de la madera en pie (cl. 42)"
37,"Servicios de construcción; servicios de instalación y reparación; extracción minera, perforación de gas y de petróleo","La clase 37 comprende principalmente los servicios en el ámbito de la construcción, así como los servicios que implican restaurar el estado original de objetos o conservarlos, sin alterar sus propiedades físicas o químicas.
Esta clase comprende en particular:

    •  la construcción y la demolición de edificios, carreteras, puentes, presas o líneas de transmisión, así como los servicios en el ámbito de la construcción, por ejemplo: los trabajos de pintura para interiores y exteriores, los trabajos de yesería, los trabajos de fontanería, la instalación de sistemas de calefacción y los trabajos de techado
    •  la construcción naval
    •  el alquiler de herramientas, de máquinas y equipos de construcción, por ejemplo: el alquiler de buldóceres, el alquiler de grúas
    •  los diversos servicios de reparación, por ejemplo: los relacionados con la electricidad, el hardware, los muebles, los instrumentos y herramientas
    •  los diversos servicios de restauración, por ejemplo: la restauración de edificios, la restauración de muebles, la restauración de obras de arte
    •  los servicios de mantenimiento para conservar el estado original de objetos sin alterar ninguna de sus propiedades, por ejemplo: la conservación de muebles, el mantenimiento de vehículos; el mantenimiento de piscinas y el mantenimiento de hardware
    •  la limpieza de diversos objetos, por ejemplo: las ventanas, los vehículos, las prendas de vestir, así como los servicios de lavandería y el planchado de prendas de vestir
Esta clase no comprende en particular:

    •  el almacenamiento físico de mercancías (cl. 39)
    •  la transformación de un objeto o sustancia que implica un proceso de cambio en sus propiedades esenciales, por ejemplo: el corte, el teñido o la ignifugación de telas (cl. 40), la colada, el chapado o el temple de metales (cl. 40), los servicios de sastre, la costura, los servicios de bordado (cl. 40), la conservación de alimentos y bebidas (cl. 40)
    •  la instalación, el mantenimiento y la actualización de software informático (cl. 42), la creación y el alojamiento de sitios web (cl. 42)
    •  el trazado de planos para la construcción y los servicios de arquitectura (cl. 42)"
38,"Servicios de telecomunicaciones","La clase 38 comprende principalmente los servicios que permiten la comunicación entre al menos dos partes, así como los servicios de difusión y transmisión de datos.
Esta clase comprende en particular:

    •  la transmisión de archivos digitales y de mensajes de correo electrónico
    •  el suministro de acceso de usuario a redes informáticas mundiales
    •  la radiodifusión y la teledifusión
    •  la transmisión de vídeo a la carta
    •  el suministro de foros de discusión (chats) en Internet y de foros en línea
    •  los servicios de telefonía y de buzón de voz
    •  los servicios de teleconferencia y de videoconferencia
Esta clase no comprende en particular:

    •  la publicidad radiofónica (cl. 35)
    •  los servicios de telemarketing (cl. 35)
    •  el contenido o el objeto de actividades de comunicación, por ejemplo: los archivos de imagen descargables (cl. 9), el suministro de información comercial por sitios web (cl. 35), el suministro de películas y programas de televisión, no descargables, mediante servicios de vídeo a la carta (cl. 41)
    •  los servicios prestados por conexiones telemáticas, por ejemplo: los servicios de venta minorista en línea de música digital descargable (cl. 35), los servicios bancarios en línea (cl. 36)
    •  la producción de programas de radio y televisión (cl. 41)
    •  la consultoría sobre tecnología de telecomunicaciones (cl. 42)
    •  los servicios de redes sociales en línea (cl. 45)"
39,"Transporte; embalaje y almacenamiento de mercancías; organización de viajes","La clase 39 comprende principalmente los servicios para el transporte de personas, animales o mercancías de un lugar a otro por ferrocarril, carretera, agua, aire o conductos y los servicios conexos, así como el almacenamiento de mercancías en cualquier tipo de instalación de almacenamiento, tales como depósitos u otros tipos de edificios para su preservación o custodia.
Esta clase comprende en particular:

    •  la explotación de estaciones, puentes, ferrocarriles, transbordadores (ferris) y otras instalaciones de transporte
    •  el alquiler de vehículos de transporte, así como los servicios de chóferes y de pilotaje
    •  los servicios de alquiler relacionados con el transporte, el almacenamiento y los viajes, por ejemplo: el alquiler de plazas de aparcamiento, el alquiler de garajes, el alquiler de contenedores de almacenamiento
    •  la operación de remolcadores marítimos, la descarga de mercancías, la operación de puertos y muelles, así como el salvamento de buques siniestrados y sus cargamentos
    •  el empaquetado, el embotellado, el embalaje y el reparto de productos
    •  el abastecimiento de distribuidores automáticos y cajeros automáticos bancarios
    •  los servicios de suministro de información sobre viajes o el transporte de mercancías prestados por intermediarios y agencias de turismo, así como los servicios de suministro de información sobre tarifas, horarios y medios de transporte
    •  la inspección de vehículos o mercancías para su transporte
    •  la distribución de energía y electricidad, así como la distribución y suministro de agua
Esta clase no comprende en particular:

    •  la publicidad de viajes o de transporte (cl. 35)
    •  los servicios de seguros durante el transporte de personas o mercancías (cl. 36)
    •  el mantenimiento y la reparación de vehículos u otros artículos, en relación con el transporte de personas y de mercancías (cl. 37)
    •  los servicios de guías turísticos (cl. 41)
    •  el almacenamiento electrónico de datos (cl. 42)
    •  las reservas de habitaciones de hotel u otro tipo de alojamiento temporal por agencias de viajes o intermediarios (cl. 43)"
40,"Tratamiento de materiales; reciclaje de residuos y desechos; purificación del aire y tratamiento del agua; servicios de impresión; conservación de alimentos y bebidas","La clase 40 comprende principalmente los servicios prestados en el marco del procesamiento, la transformación o la producción mecánicos o químicos de objetos o sustancias orgánicas o inorgánicas, incluidos los servicios de fabricación por encargo. A efectos de clasificación, la producción o fabricación de productos se considera servicio únicamente en los casos en que se efectúe por cuenta de terceros según su pedido y especificaciones. Si la producción o la fabricación de productos en el marco de un pedido no responde a las necesidades, exigencias o especificaciones del cliente, por lo general, se considerará complementaria a la actividad comercial principal del fabricante o a los productos que comercializa. Si la persona que ha tratado, transformado o producido el objeto o la sustancia los comercializa a terceros, por lo general esta actividad no se considerará un servicio.
Esta clase comprende en particular:

    •  la transformación de un objeto o sustancia y cualquier tratamiento que implique una modificación de sus propiedades esenciales, por ejemplo: el teñido de una prenda de vestir; estos servicios de transformación se clasifican asimismo en la clase 40 si son prestados en el marco de trabajos de reparación o mantenimiento, por ejemplo: el cromado de parachoques de vehículos
    •  el tratamiento de materiales que puedan intervenir en el proceso de fabricación de cualquier sustancia u objeto que no sea un edificio, por ejemplo: los servicios en relación con el corte, la conformación, el pulido por abrasión o el revestimiento metálico
    •  el ensamblaje de materiales, por ejemplo: los servicios de soldadura
    •  el procesamiento y tratamiento de productos alimenticios, por ejemplo: el prensado de frutas, la molienda de grano, la conservación de alimentos y bebidas, el ahumado de alimentos, la congelación de alimentos
    •  la fabricación de productos según el pedido y las especificaciones de terceros (teniendo en cuenta que ciertas oficinas exigen que se indiquen los productos fabricados), por ejemplo: la fabricación por encargo de automóviles
    •  los servicios de protésicos dentales
    •  el acolchado, los servicios de bordado, los servicios de sastre, el teñido de textiles, el apresto de textiles
Esta clase no comprende en particular:

    •  los servicios que no supongan un cambio en las propiedades esenciales del objeto o sustancia, por ejemplo: los servicios de conservación o reparación de muebles (cl. 37)
    •  los servicios en el ámbito de la construcción, por ejemplo: los trabajos de pintura y los trabajos de yesería (cl. 37)
    •  los servicios de limpieza, por ejemplo: los servicios de lavandería, la limpieza de ventanas, la limpieza de fachadas e interiores de edificios (cl. 37)
    •  el tratamiento contra la herrumbre, por ejemplo: el tratamiento antioxidante para vehículos (cl. 37)
    •  ciertos servicios de personalización, por ejemplo: la pintura personalizada de automóviles (cl. 37)
    •  la decoración de alimentos y la escultura de alimentos (cl. 43)"
41,"Educación; formación; servicios de entretenimiento; actividades deportivas y culturales","La clase 41 comprende principalmente los servicios que consisten en todo tipo de formas de educación o formación, los servicios cuya finalidad básica es el entretenimiento, la diversión o el ocio de las personas, así como la presentación al público de obras de arte plásticas o literarias con fines culturales o educativos.
Esta clase comprende en particular:

    •  la organización de exposiciones con fines culturales o educativos, la organización y la dirección de conferencias, congresos y simposios
    •  los servicios de traducción y de interpretación lingüística
    •  la publicación de libros y textos, que no sean textos publicitarios
    •  los servicios de reporteros, los reportajes fotográficos
    •  los servicios fotográficos
    •  la realización y la producción de películas no publicitarias
    •  los servicios culturales, educativos y recreativos prestados por parques de atracciones, circos, zoos, galerías de arte y museos
    •  los servicios de entrenamiento deportivo y para el mantenimiento físico
    •  la doma y el adiestramiento de animales
    •  los servicios de juegos informáticos en línea
    •  los servicios de juegos de apuestas, la organización de loterías
    •  la reserva de entradas y los servicios de reserva para eventos educativos, deportivos y de entretenimiento
    •  ciertos servicios de redacción, tales como la redacción de guiones televisivos y cinematográficos, los servicios de compositores y autores de música
Esta clase no comprende en particular:

    •  la organización de exposiciones con fines comerciales o publicitarios (cl. 35)
    •  la redacción y la publicación de textos publicitarios (cl. 35)
    •  los servicios de agencias de noticias (cl. 38)
    •  la radiodifusión y la teledifusión (cl. 38)
    •  los servicios de videoconferencia (cl. 38)
    •  la redacción técnica (cl. 42)
    •  los servicios de guarderías infantiles (cl. 43)
    •  los servicios de estaciones termales (cl. 44)
    •  la planificación y la preparación de ceremonias nupciales (cl. 45)"
42,"Servicios científicos y tecnológicos, así como servicios de investigación y diseño conexos; servicios de análisis industrial, investigación industrial y diseño industrial; control de calidad y servicios de autenticación; diseño y desarrollo de hardware y software","La clase 42 comprende principalmente los servicios prestados por personas en relación con aspectos teóricos o prácticos de sectores de actividades de alta complejidad, por ejemplo: los servicios de laboratorios científicos, la ingeniería, la programación informática, los servicios de arquitectura o el diseño de interiores.
Esta clase comprende en particular:

    •  los servicios de ingenieros y científicos encargados de efectuar evaluaciones, estimaciones, investigaciones e informes en los ámbitos científico y tecnológico, incluidos los servicios de consultoría tecnológica
    •  los servicios tecnológicos e informáticos sobre la seguridad de los datos informáticos y la información personal y financiera, así como la detección del acceso no autorizado a datos e información, por ejemplo: los servicios de protección antivirus (informática), los servicios de cifrado de datos, la vigilancia electrónica de información de identificación personal para detectar la usurpación de identidad por Internet
    •  el software como servicio (SaaS), la plataforma como servicio (PaaS)
    •  los servicios de investigación científica con fines médicos
    •  los servicios de arquitectura y de planificación urbana
    •  ciertos servicios de diseño, por ejemplo: el diseño industrial, el diseño de software y de sistemas informáticos, el diseño de interiores, los servicios de diseñadores de embalajes, el diseño de artes gráficas, el diseño de moda
    •  los peritajes (trabajos de ingenieros)
    •  la prospección de petróleo, gas y minería
Esta clase no comprende en particular:

    •  ciertos servicios de investigación, por ejemplo: la búsqueda de negocios (cl. 35), la investigación de marketing (cl. 35), la investigación financiera (cl. 36), la investigación en materia de la educación (cl. 41), la investigación genealógica (cl. 45), la investigación jurídica (cl. 45)
    •  la auditoría empresarial (cl. 35)
    •  la gestión informática de archivos (cl. 35)
    •  los servicios de evaluación financiera (cl. 36)
    •  los servicios de extracción minera y la perforación de gas y de petróleo (cl. 37)
    •  la instalación, el mantenimiento y la reparación de hardware (cl. 37)
    •  los servicios de ingenieros de sonido (cl. 41)
    •  ciertos servicios de diseño, por ejemplo: el diseño de parques y jardines (cl. 44)
    •  los servicios médicos y veterinarios (cl. 44)
    •  los servicios jurídicos (cl. 45)"
43,"Servicios de restauración (alimentación); hospedaje temporal","La clase 43 comprende principalmente los servicios prestados en relación con la preparación de alimentos y bebidas para el consumo, así como los servicios de puesta a disposición de alojamiento temporal.
Esta clase comprende en particular:

    •  la reserva de alojamiento temporal, por ejemplo, la reserva de hoteles
    •  los servicios de residencias para animales
    •  el alquiler de salas de reunión, tiendas de campaña y construcciones transportables
    •  los servicios de residencias para la tercera edad
    •  los servicios de guarderías infantiles
    •  la decoración de alimentos, la escultura de alimentos
    •  el alquiler de aparatos de cocción
    •  el alquiler de sillas, mesas, mantelería y cristalería
    •  los servicios de bares de shisha
    •  los servicios de chefs de cocina a domicilio
Esta clase no comprende en particular:

    •  la gerencia administrativa de hoteles (cl. 35)
    •  los servicios de alquiler de bienes inmuebles, tales como casas o apartamentos destinados a un uso residencial (cl. 36)
    •  los servicios domésticos (servicios de limpieza) (cl. 37)
    •  las reservas de viajes y de transporte (cl. 39)
    •  la elaboración de cerveza y del vino para terceros, la fabricación de pan por encargo (cl. 40)
    •  el ahumado de alimentos, los servicios de conservación de alimentos y bebidas (cl. 40)
    •  los servicios de educación, instrucción y entretenimiento, incluidos los que pueden implicar servicios complementarios como el alojamiento o la comida y las bebidas complementarias, prestados, por ejemplo, por: internados, jardines de infancia, campamentos deportivos, discotecas y clubes nocturnos (cl. 41)
    •  los servicios de museos (cl. 41)
    •  los servicios de casas de reposo y convalecencia (cl. 44)
    •  el cuidado de niños a domicilio, el cuidado de animales de compañía a domicilio (cl. 45)"
44,"Servicios médicos; servicios veterinarios; tratamientos de higiene y de belleza para personas o animales; servicios de agricultura, acuicultura, horticultura y silvicultura","La clase 44 comprende principalmente los tratamientos médicos, incluida la medicina alternativa, y tratamientos de higiene y de belleza destinados a personas o animales, prestados por personas o establecimientos, así como los servicios en relación con los sectores de la agricultura, la acuicultura, la horticultura y la silvicultura.
Esta clase comprende en particular:

    •  los servicios hospitalarios
    •  los servicios de telemedicina
    •  los servicios de odontología, optometría y salud mental
    •  los servicios de clínicas médicas y los servicios de análisis médicos prestados por laboratorios médicos con fines diagnósticos y terapéuticos, tales como los exámenes radiográficos y las extracciones de sangre
    •  los servicios terapéuticos, por ejemplo: la fisioterapia y logopedia
    •  el asesoramiento en materia de farmacia y la preparación de recetas médicas por farmacéuticos
    •  los servicios de bancos de sangre y los servicios de bancos de tejidos humanos
    •  los servicios de casas de convalecencia y de casas de reposo
    •  el asesoramiento sobre dietética y nutrición
    •  los servicios de estaciones termales
    •  los servicios de inseminación artificial y de fecundación in vitro
    •  la cría de animales
    •  el aseo de animales
    •  la perforación corporal y los servicios de tatuaje
    •  los servicios en relación con la jardinería, por ejemplo: los servicios de viveros, el diseño de parques y jardines, los servicios de jardineros paisajistas, el mantenimiento del césped
    •  los servicios en relación con el arte floral, por ejemplo: los arreglos florales, la confección de coronas
    •  la eliminación de malas hierbas, los servicios de control de plagas para la agricultura, la acuicultura, la horticultura y la silvicultura
Esta clase no comprende en particular:

    •  los servicios de control de plagas y animales dañinos, que no guarden relación con la agricultura, la acuicultura, la horticultura y la silvicultura (cl. 37)
    •  la instalación y reparación de dispositivos de riego (cl. 37)
    •  el transporte en ambulancia (cl. 39)
    •  el sacrificio de animales y la taxidermia (cl. 40)
    •  la tala y corte de madera (cl. 40)
    •  los servicios de doma y adiestramiento de animales (cl. 41)
    •  los servicios prestados por clubes de educación física (cl. 41)
    •  los servicios de investigación científica con fines médicos (cl. 42)
    •  los servicios de residencias para animales (cl. 43)
    •  los servicios de residencias de la tercera edad (cl. 43)
    •  los servicios funerarios (cl. 45)"
45,"Servicios jurídicos; servicios de seguridad para la protección física de bienes materiales y personas; servicios de clubes de encuentro, servicios de redes sociales en línea; servicios funerarios; cuidado de niños a domicilio","La clase 45 comprende principalmente los servicios jurídicos y de seguridad, así como ciertos servicios personales y sociales prestados por terceros para satisfacer necesidades individuales.
Esta clase comprende en particular:

    •  los servicios de arbitraje y mediación
    •  el registro de nombres de dominio
    •  los servicios de auditoría de observancia jurídica y reglamentaria
    •  los servicios de investigación y vigilancia en relación con la seguridad física de personas y la seguridad de bienes materiales, por ejemplo : los servicios de guardias, los servicios de agencias de detectives, la investigación de antecedentes personales, el control de seguridad de equipajes
    •  los servicios prestados a personas en relación con acontecimientos sociales, por ejemplo: los servicios de acompañamiento en sociedad, la planificación y la preparación de ceremonias nupciales
    •  la celebración de ceremonias religiosas, los servicios de inhumación
    •  el cuidado de animales de compañía a domicilio, los servicios de paseo de perros
    •  el alquiler de prendas de vestir
Esta clase no comprende en particular:

    •  ciertos servicios de alquiler prestados por terceros para satisfacer necesidades individuales, cuando los servicios prestados por medio de los objetos alquilados estén comprendidos en otra clase, por ejemplo el alquiler de apartamentos (cl. 36), el alquiler de coches (cl. 39) y el alquiler de alojamiento temporal (cl. 43)
    •  los servicios de acompañamiento de viajeros (cl. 39)
    •  los servicios de transporte de seguridad, por ejemplo: el transporte protegido de objetos de valor, el transporte en vehículos blindados (cl. 39)
    •  la organización de fiestas y recepciones (cl. 41)
    •  los servicios educativos de todo tipo, incluida la educación religiosa (cl. 41)
    • los servicios cuya finalidad básica es el entretenimiento, la diversión o el ocio de las personas (cl. 41)
    •  los servicios de cifrado de datos y consultoría sobre la seguridad informática y de Internet (cl. 42)
    •  los servicios de tratamientos médicos, de higiene y de belleza para personas o animales (cl. 44)"
